posterColumn href,posterColumn src,Title,Weekend,Gross,Weeks,Tag
https://www.imdb.com/title/tt4779682?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_1,"https://m.media-amazon.com/images/M/MV5BMjg0MzA4MDE0N15BMl5BanBnXkFtZTgwMzk3MzAwNjM@._V1_UY67_CR0,0,45,67_AL_.jpg",The Meg,$45.4M,$45.4M,1,Box office
https://www.imdb.com/title/tt4912910?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_2,"https://m.media-amazon.com/images/M/MV5BMTk3NDY5MTU0NV5BMl5BanBnXkFtZTgwNDI3MDE1NTM@._V1_UY67_CR0,0,45,67_AL_.jpg",Mission: Impossible - Fallout,$19.4M,$161.3M,3,Box office
https://www.imdb.com/title/tt4575576?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_3,"https://m.media-amazon.com/images/M/MV5BMjAzOTM2OTAyNF5BMl5BanBnXkFtZTgwNTg5ODg1NTM@._V1_UY67_CR0,0,45,67_AL_.jpg",Christopher Robin,$13.0M,$50.5M,2,Box office
https://www.imdb.com/title/tt5690360?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_4,"https://m.media-amazon.com/images/M/MV5BMjE0MzcwMDAyNl5BMl5BanBnXkFtZTgwMzc4ODg0NDM@._V1_UY67_CR0,0,45,67_AL_.jpg",Slender Man,$11.4M,$11.4M,1,Box office
https://www.imdb.com/title/tt7349662?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_5,"https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_UY67_CR0,0,45,67_AL_.jpg",BlacKkKlansman,$10.8M,$10.8M,1,Box office
https://www.imdb.com/title/tt6663582?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_6,"https://m.media-amazon.com/images/M/MV5BNDY1MTA0NjgyN15BMl5BanBnXkFtZTgwMTEzNDQ4NTM@._V1_UX45_CR0,0,45,67_AL_.jpg",The Spy Who Dumped Me,$6.5M,$24.4M,2,Box office
https://www.imdb.com/title/tt6911608?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_7,"https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_UX45_CR0,0,45,67_AL_.jpg",Mamma Mia! Here We Go Again,$5.9M,$103.9M,4,Box office
https://www.imdb.com/title/tt3766354?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_8,"https://m.media-amazon.com/images/M/MV5BMTU2OTYzODQyMF5BMl5BanBnXkFtZTgwNjU3Njk5NTM@._V1_UY67_CR0,0,45,67_AL_.jpg",The Equalizer 2,$5.4M,$89.6M,4,Box office
https://www.imdb.com/title/tt5220122?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_9,"https://m.media-amazon.com/images/M/MV5BNjA1MzU5MTY3OF5BMl5BanBnXkFtZTgwNTU5MDA3NTM@._V1_UY67_CR0,0,45,67_AL_.jpg",Hotel Transylvania 3: Summer Vacation,$5.2M,$147.0M,5,Box office
https://www.imdb.com/title/tt5095030?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f9f31d04-fc22-4d12-86b4-f46e25aa2f6f&pf_rd_r=E662T19GYYBSPJ8HMNG6&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=boxoffice&ref_=cht_bo_10,"https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg",Ant-Man and the Wasp,$4.1M,$203.6M,6,Box office
